datetime;open;high;low;close;volume
2015-11-28;359.52;360.08;350.49;355.83;19988111.49
2015-11-29;355.83;372.84;354.55;370.84;24546100.04
2015-11-30;370.84;382.56;367.87;377.97;48913368.38
2015-12-01;377.97;379.02;353.66;361.8;40821470.73
2015-12-02;361.8;363.43;347.16;359.98;32881089.02
2015-12-03;359.98;371.37;355.47;360.31;31673283.3
2015-12-04;360.31;363.95;354.31;361.67;21820610.2
2015-12-05;361.67;390.28;361.5;386.69;43438102.1
2015-12-06;386.69;402.19;382.62;393.38;52068577.43
2015-12-07;393.38;398.74;381.69;394.28;38102878.77
2015-12-08;394.28;411.07;388.03;410.67;29543120.08
2015-12-09;410.67;424.58;403.26;416.0;61289838.7
2015-12-10;416.0;420.36;409.53;415.49;29794270.99
2015-12-11;415.49;453.37;413.72;449.83;76433917.46
2015-12-12;449.83;467.71;403.69;432.29;91838640.61
2015-12-13;432.29;440.97;420.76;434.69;27898250.74
2015-12-14;434.69;449.45;428.84;442.0;97068568.78
2015-12-15;442.0;464.23;440.72;462.65;48912227.87
2015-12-16;462.65;465.16;437.37;453.98;84336145.39
2015-12-17;453.98;458.44;447.29;455.53;29344348.08
2015-12-18;455.53;466.12;453.46;463.18;38425211.05
2015-12-19;463.18;465.99;452.33;461.2;28327900.15
2015-12-20;461.2;462.76;431.1;441.78;54316484.95
2015-12-21;441.78;445.54;423.99;437.59;53270215.6
2015-12-22;437.59;443.22;433.25;437.03;28845536.39
2015-12-23;437.03;444.78;434.28;442.43;27877349.1
2015-12-24;442.43;460.62;441.76;452.98;36096662.15
2015-12-25;452.98;457.44;449.52;454.05;19251958.85
2015-12-26;454.05;456.48;400.45;415.37;88564770.72
2015-12-27;415.37;425.51;406.09;422.39;28259303.48
2015-12-28;422.39;429.85;417.14;421.76;28978639.73
2015-12-29;421.76;433.56;419.3;431.92;30163445.65
2015-12-30;431.92;435.04;420.77;427.15;29289416.54
2015-12-31;427.15;433.12;417.14;429.95;27758278.73
2016-01-01;429.95;437.95;425.86;433.99;20334286.58
2016-01-02;433.99;437.43;430.73;433.72;14566820.95
2016-01-03;433.72;434.14;423.09;430.7;23490162.61
2016-01-04;430.7;435.26;428.6;433.32;22943968.22
2016-01-05;433.32;435.25;428.87;431.2;19499588.99
2016-01-06;431.2;432.11;425.0;430.82;18702334.67
2016-01-07;430.82;457.54;428.52;457.05;58253615.03
2016-01-08;457.05;462.92;446.51;452.87;41594025.32
2016-01-09;452.87;454.55;444.9;448.31;17967113.95
2016-01-10;448.31;448.88;438.62;446.19;19778456.68
2016-01-11;446.19;451.08;441.77;447.72;25358480.83
2016-01-12;447.72;448.41;443.14;445.04;19913400.66
2016-01-13;445.04;443.72;420.39;432.18;39525195.32
2016-01-14;432.18;433.74;427.01;429.13;19948730.59
2016-01-15;429.13;430.15;364.71;372.26;107060613.39
2016-01-16;372.26;386.72;350.39;385.04;68297105.65
2016-01-17;385.04;390.72;377.71;382.47;25464382.4
